PointSet,Feasible_Set_Size,Feasible_Set_Indices,Feasible_Set_Points
"(81, 16)",2,"(0, 1)","[(81, 16), (128, 249)]"
"(128, 249)",2,"(0, 2)","[(81, 16), (99, 89)]"
"(99, 89)",2,"(0, 6)","[(81, 16), (127, 15)]"
"(132, 198)",2,"(0, 7)","[(81, 16), (175, 6)]"
"(124, 154)",2,"(1, 2)","[(128, 249), (99, 89)]"
"(107, 92)",2,"(1, 3)","[(128, 249), (132, 198)]"
"(127, 15)",2,"(1, 7)","[(128, 249), (175, 6)]"
"(175, 6)",2,"(3, 7)","[(132, 198), (175, 6)]"
,2,"(6, 7)","[(127, 15), (175, 6)]"
,3,"(0, 1, 2)","[(81, 16), (128, 249), (99, 89)]"
,3,"(0, 2, 5)","[(81, 16), (99, 89), (107, 92)]"
,3,"(0, 2, 6)","[(81, 16), (99, 89), (127, 15)]"
,3,"(0, 6, 7)","[(81, 16), (127, 15), (175, 6)]"
,3,"(1, 2, 3)","[(128, 249), (99, 89), (132, 198)]"
,3,"(1, 3, 4)","[(128, 249), (132, 198), (124, 154)]"
,3,"(1, 3, 7)","[(128, 249), (132, 198), (175, 6)]"
,3,"(3, 6, 7)","[(132, 198), (127, 15), (175, 6)]"
,3,"(4, 6, 7)","[(124, 154), (127, 15), (175, 6)]"
,3,"(5, 6, 7)","[(107, 92), (127, 15), (175, 6)]"
,4,"(0, 1, 2, 3)","[(81, 16), (128, 249), (99, 89), (132, 198)]"
,4,"(0, 1, 2, 5)","[(81, 16), (128, 249), (99, 89), (107, 92)]"
,4,"(0, 2, 4, 5)","[(81, 16), (99, 89), (124, 154), (107, 92)]"
,4,"(0, 2, 5, 6)","[(81, 16), (99, 89), (107, 92), (127, 15)]"
,4,"(0, 2, 6, 7)","[(81, 16), (99, 89), (127, 15), (175, 6)]"
,4,"(0, 5, 6, 7)","[(81, 16), (107, 92), (127, 15), (175, 6)]"
